subject_code,subject_name,section,unit,chapter,subtopic,ncert_heading,ncert_concept,concept_type,official_syllabus_url,syllabus_overlap_score,chapter_overlap_score
308,Computer Science,Section B1,Computer Science,Stack,push pop,Stack,push pop,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Stack,list implementation,Stack,list implementation,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,2.0,1.0
308,Computer Science,Section B1,Computer Science,Stack,prefix infix postfix,Stack,prefix infix postfix,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Stack,expression evaluation,Stack,expression evaluation,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Stack,infix to postfix,Stack,infix to postfix,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Queue,FIFO,Queue,FIFO,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Queue,insert delete,Queue,insert delete,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Queue,list implementation,Queue,list implementation,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,2.0,1.0
308,Computer Science,Section B1,Computer Science,Queue,deque,Queue,deque,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Searching,sequential search,Searching,sequential search,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Searching,binary search,Searching,binary search,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Searching,best worst average case,Searching,best worst average case,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Searching,python implementation,Searching,python implementation,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Sorting,bubble sort,Sorting,bubble sort,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Sorting,selection sort,Sorting,selection sort,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Sorting,insertion sort,Sorting,insertion sort,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Sorting,dry run,Sorting,dry run,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Sorting,hashing,Sorting,hashing,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Sorting,collision resolution,Sorting,collision resolution,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Understanding Data,data collection,Understanding Data,data collection,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Understanding Data,mean median,Understanding Data,mean median,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Understanding Data,standard deviation variance,Understanding Data,standard deviation variance,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Understanding Data,data interpretation,Understanding Data,data interpretation,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Data Communication and Security,communication types,Data Communication and Security,communication types,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Data Communication and Security,switching techniques,Data Communication and Security,switching techniques,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Data Communication and Security,wired media,Data Communication and Security,wired media,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Data Communication and Security,wireless media,Data Communication and Security,wireless media,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Data Communication and Security,protocols,Data Communication and Security,protocols,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Data Communication and Security,bandwidth and data transfer rate,Data Communication and Security,bandwidth and data transfer rate,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Data Communication and Security,viruses worms trojan spam cookies adware,Data Communication and Security,viruses worms trojan spam cookies adware,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Data Communication and Security,firewall http https,Data Communication and Security,firewall http https,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Data Communication and Security,DoS intrusion snooping eavesdropping,Data Communication and Security,DoS intrusion snooping eavesdropping,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
