unit,chapter,subtopic,ncert_heading,ncert_page,ncert_paragraph,ncert_concept,concept_type,index_text,source
Unit III,Business Environment,meaning and features,Meaning And Features,,,business environment; specific forces; general forces; dynamic; uncertainty; complexity,feature,Business Environment meaning and features Meaning And Features business environment; specific forces; general forces; dynamic; uncertainty; complexity,syllabus_taxonomy_fallback
Unit III,Business Environment,importance of environment,Importance Of Environment,,,early warning; opportunities; threats; coping with rapid changes; planning and policy,definition,Business Environment importance of environment Importance Of Environment early warning; opportunities; threats; coping with rapid changes; planning and policy,syllabus_taxonomy_fallback
Unit III,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,Business Environment dimensions Dimensions economic environment; social environment; technological environment; political environment; legal environment,syllabus_taxonomy_fallback
Unit III,Business Environment,liberalisation privatisation globalisation,Liberalisation Privatisation Globalisation,,,liberalisation; privatisation; globalisation; lpg; new economic policy; demonetisation,definition,Business Environment liberalisation privatisation globalisation Liberalisation Privatisation Globalisation liberalisation; privatisation; globalisation; lpg; new economic policy; demonetisation,syllabus_taxonomy_fallback
Unit IV,Planning,meaning and features,Meaning And Features,,,planning; primary function; intellectual process; future oriented; pervasive,process,Planning meaning and features Meaning And Features planning; primary function; intellectual process; future oriented; pervasive,syllabus_taxonomy_fallback
Unit IV,Planning,importance,Importance,,,importance of planning; reduces uncertainty; reduces overlapping; innovative ideas; decision making,definition,Planning importance Importance importance of planning; reduces uncertainty; reduces overlapping; innovative ideas; decision making,syllabus_taxonomy_fallback
Unit IV,Planning,limitations,Limitations,,,limitations of planning; rigidity; dynamic environment; creativity; time consuming; false sense of security,definition,Planning limitations Limitations limitations of planning; rigidity; dynamic environment; creativity; time consuming; false sense of security,syllabus_taxonomy_fallback
Unit IV,Planning,planning process,Planning Process,,,setting objectives; developing premises; identifying alternatives; evaluating alternatives; selecting an alternative; implementing plan; follow up,process,Planning planning process Planning Process setting objectives; developing premises; identifying alternatives; evaluating alternatives; selecting an alternative; implementing plan; follow up,syllabus_taxonomy_fallback
Unit IV,Planning,types of plans,Types Of Plans,,,objectives; strategy; policy; procedure; method; rule; programme; budget,process,Planning types of plans Types Of Plans objectives; strategy; policy; procedure; method; rule; programme; budget,syllabus_taxonomy_fallback
Unit V,Organising,meaning and process,Meaning And Process,,,organising; identification of activities; departmentalisation; assignment of duties; reporting relationships,process,Organising meaning and process Meaning And Process organising; identification of activities; departmentalisation; assignment of duties; reporting relationships,syllabus_taxonomy_fallback
Unit V,Organising,importance,Importance,,,benefits of specialisation; clarity in working relationships; optimum utilisation; adaptation to change; effective administration,definition,Organising importance Importance benefits of specialisation; clarity in working relationships; optimum utilisation; adaptation to change; effective administration,syllabus_taxonomy_fallback
Unit V,Organising,organisation structure,Organisation Structure,,,organisation structure; span of management; functional structure; divisional structure,definition,Organising organisation structure Organisation Structure organisation structure; span of management; functional structure; divisional structure,syllabus_taxonomy_fallback
Unit V,Organising,formal and informal organisation,Formal And Informal Organisation,,,formal organisation; informal organisation; grapevine; official relationships,definition,Organising formal and informal organisation Formal And Informal Organisation formal organisation; informal organisation; grapevine; official relationships,syllabus_taxonomy_fallback
Unit V,Organising,delegation,Delegation,,,delegation; authority; responsibility; accountability; absoluteness of accountability,definition,Organising delegation Delegation delegation; authority; responsibility; accountability; absoluteness of accountability,syllabus_taxonomy_fallback
Unit V,Organising,decentralisation,Decentralisation,,,decentralisation; centralisation; decision making authority; initiative,definition,Organising decentralisation Decentralisation decentralisation; centralisation; decision making authority; initiative,syllabus_taxonomy_fallback
Unit VI,Staffing,meaning and importance,Meaning And Importance,,,staffing; human resource management; manpower; competent personnel,definition,Staffing meaning and importance Meaning And Importance staffing; human resource management; manpower; competent personnel,syllabus_taxonomy_fallback
Unit VI,Staffing,staffing process,Staffing Process,,,estimating manpower requirements; recruitment; selection; placement; orientation; training; performance appraisal; promotion; compensation,process,Staffing staffing process Staffing Process estimating manpower requirements; recruitment; selection; placement; orientation; training; performance appraisal; promotion; compensation,syllabus_taxonomy_fallback
Unit VI,Staffing,recruitment,Recruitment,,,internal sources; external sources; transfer; promotion; advertisement; employment exchange; campus recruitment,definition,Staffing recruitment Recruitment internal sources; external sources; transfer; promotion; advertisement; employment exchange; campus recruitment,syllabus_taxonomy_fallback
Unit VI,Staffing,selection,Selection,,,selection; employment test; interview; medical examination; reference check; job offer,definition,Staffing selection Selection selection; employment test; interview; medical examination; reference check; job offer,syllabus_taxonomy_fallback
Unit VI,Staffing,training and development,Training And Development,,,training; development; apprenticeship; internship; vestibule training; job rotation; case study,example,Staffing training and development Training And Development training; development; apprenticeship; internship; vestibule training; job rotation; case study,syllabus_taxonomy_fallback
Unit VII,Directing,meaning and importance,Meaning And Importance,,,directing; supervision; motivation; leadership; communication; integrates efforts,definition,Directing meaning and importance Meaning And Importance directing; supervision; motivation; leadership; communication; integrates efforts,syllabus_taxonomy_fallback
Unit VII,Directing,supervision,Supervision,,,supervision; supervisor; linking pin; guidance,definition,Directing supervision Supervision supervision; supervisor; linking pin; guidance,syllabus_taxonomy_fallback
Unit VII,Directing,motivation,Motivation,,,motivation; motive; incentive; positive motivation; negative motivation; financial incentives; non financial incentives,definition,Directing motivation Motivation motivation; motive; incentive; positive motivation; negative motivation; financial incentives; non financial incentives,syllabus_taxonomy_fallback
Unit VII,Directing,Maslow hierarchy,Maslow Hierarchy,,,maslow; physiological; safety; belongingness; esteem; self actualisation,definition,Directing Maslow hierarchy Maslow Hierarchy maslow; physiological; safety; belongingness; esteem; self actualisation,syllabus_taxonomy_fallback
Unit VII,Directing,leadership,Leadership,,,leadership; leader; autocratic; democratic; laissez faire; qualities of leader,definition,Directing leadership Leadership leadership; leader; autocratic; democratic; laissez faire; qualities of leader,syllabus_taxonomy_fallback
Unit VII,Directing,communication,Communication,,,communication; encoding; decoding; feedback; formal communication; informal communication; barriers; semantic; psychological; organisational; personal,definition,Directing communication Communication communication; encoding; decoding; feedback; formal communication; informal communication; barriers; semantic; psychological; organisational; personal,syllabus_taxonomy_fallback
Unit VIII,Controlling,meaning and importance,Meaning And Importance,,,controlling; standards; deviation; corrective action; goal oriented,definition,Controlling meaning and importance Meaning And Importance controlling; standards; deviation; corrective action; goal oriented,syllabus_taxonomy_fallback
Unit VIII,Controlling,relationship with planning,Relationship With Planning,,,planning and controlling; interdependent; forward looking; backward looking,definition,Controlling relationship with planning Relationship With Planning planning and controlling; interdependent; forward looking; backward looking,syllabus_taxonomy_fallback
Unit VIII,Controlling,control process,Control Process,,,setting performance standards; measurement of performance; comparing performance; analysing deviations; critical point control; management by exception; corrective action,process,Controlling control process Control Process setting performance standards; measurement of performance; comparing performance; analysing deviations; critical point control; management by exception; corrective action,syllabus_taxonomy_fallback
Unit IX,Business Finance,financial management,Financial Management,,,financial management; wealth maximisation; profit maximisation; financial decisions,definition,Business Finance financial management Financial Management financial management; wealth maximisation; profit maximisation; financial decisions,syllabus_taxonomy_fallback
Unit IX,Business Finance,investment decision,Investment Decision,,,investment decision; capital budgeting; fixed assets; risk; cash flows,definition,Business Finance investment decision Investment Decision investment decision; capital budgeting; fixed assets; risk; cash flows,syllabus_taxonomy_fallback
Unit IX,Business Finance,financing decision,Financing Decision,,,financing decision; capital structure; debt; equity; financial risk; cost of capital,definition,Business Finance financing decision Financing Decision financing decision; capital structure; debt; equity; financial risk; cost of capital,syllabus_taxonomy_fallback
Unit IX,Business Finance,dividend decision,Dividend Decision,,,dividend decision; retained earnings; shareholders,definition,Business Finance dividend decision Dividend Decision dividend decision; retained earnings; shareholders,syllabus_taxonomy_fallback
Unit IX,Business Finance,financial planning,Financial Planning,,,financial planning; forecasting; fund requirement; availability of funds,definition,Business Finance financial planning Financial Planning financial planning; forecasting; fund requirement; availability of funds,syllabus_taxonomy_fallback
Unit IX,Business Finance,fixed capital,Fixed Capital,,,fixed capital; nature of business; scale of operations; technology upgradation; financing alternatives,feature,Business Finance fixed capital Fixed Capital fixed capital; nature of business; scale of operations; technology upgradation; financing alternatives,syllabus_taxonomy_fallback
Unit IX,Business Finance,working capital,Working Capital,,,working capital; operating cycle; raw material; inventory; receivables; credit policy,definition,Business Finance working capital Working Capital working capital; operating cycle; raw material; inventory; receivables; credit policy,syllabus_taxonomy_fallback
Unit X,Marketing,marketing meaning,Marketing Meaning,,,marketing; market; customer needs; exchange mechanism; marketing management,definition,Marketing marketing meaning Marketing Meaning marketing; market; customer needs; exchange mechanism; marketing management,syllabus_taxonomy_fallback
Unit X,Marketing,marketing vs selling,Marketing Vs Selling,,,selling; marketing vs selling; customer satisfaction; profit through sales volume,difference,Marketing marketing vs selling Marketing Vs Selling selling; marketing vs selling; customer satisfaction; profit through sales volume,syllabus_taxonomy_fallback
Unit X,Marketing,marketing management philosophies,Marketing Management Philosophies,,,production concept; product concept; selling concept; marketing concept; societal marketing,definition,Marketing marketing management philosophies Marketing Management Philosophies production concept; product concept; selling concept; marketing concept; societal marketing,syllabus_taxonomy_fallback
Unit X,Marketing,marketing mix,Marketing Mix,,,marketing mix; four ps; product; price; place; promotion,definition,Marketing marketing mix Marketing Mix marketing mix; four ps; product; price; place; promotion,syllabus_taxonomy_fallback
Unit X,Marketing,product,Product,,,product; branding; brand name; brand mark; trademark; labelling; packaging,definition,Marketing product Product product; branding; brand name; brand mark; trademark; labelling; packaging,syllabus_taxonomy_fallback
Unit X,Marketing,pricing,Pricing,,,pricing; price; price mix; skimming; penetration,definition,Marketing pricing Pricing pricing; price; price mix; skimming; penetration,syllabus_taxonomy_fallback
Unit X,Marketing,channels of distribution,Channels Of Distribution,,,channel of distribution; middlemen; wholesaler; retailer; physical distribution,definition,Marketing channels of distribution Channels Of Distribution channel of distribution; middlemen; wholesaler; retailer; physical distribution,syllabus_taxonomy_fallback
Unit X,Marketing,promotion,Promotion,,,promotion; advertising; personal selling; sales promotion; public relations,definition,Marketing promotion Promotion promotion; advertising; personal selling; sales promotion; public relations,syllabus_taxonomy_fallback
Unit XI,Consumer Protection,importance,Importance,,,consumer protection; consumer interest; business responsibility; consumer awareness,definition,Consumer Protection importance Importance consumer protection; consumer interest; business responsibility; consumer awareness,syllabus_taxonomy_fallback
Unit XI,Consumer Protection,consumer rights,Consumer Rights,,,right to safety; right to be informed; right to choose; right to be heard; right to seek redressal; right to consumer education,definition,Consumer Protection consumer rights Consumer Rights right to safety; right to be informed; right to choose; right to be heard; right to seek redressal; right to consumer education,syllabus_taxonomy_fallback
Unit XI,Consumer Protection,consumer responsibilities,Consumer Responsibilities,,,consumer responsibilities; quality marks; cash memo; complaint,definition,Consumer Protection consumer responsibilities Consumer Responsibilities consumer responsibilities; quality marks; cash memo; complaint,syllabus_taxonomy_fallback
Unit XI,Consumer Protection,legal redressal,Legal Redressal,,,consumer protection act; district commission; state commission; national commission; redressal,definition,Consumer Protection legal redressal Legal Redressal consumer protection act; district commission; state commission; national commission; redressal,syllabus_taxonomy_fallback
Unit XI,Consumer Protection,NGOs and relief,Ngos And Relief,,,non-government organisation; ngo; consumer organisation; relief; compensation,definition,Consumer Protection NGOs and relief Ngos And Relief non-government organisation; ngo; consumer organisation; relief; compensation,syllabus_taxonomy_fallback
Unit XII,Entrepreneurship Development,concept and functions,Concept And Functions,,,entrepreneurship; entrepreneur; risk bearing; innovation; organisation building,definition,Entrepreneurship Development concept and functions Concept And Functions entrepreneurship; entrepreneur; risk bearing; innovation; organisation building,syllabus_taxonomy_fallback
Unit XII,Entrepreneurship Development,need and characteristics,Need And Characteristics,,,need for entrepreneurship; characteristics; initiative; confidence; creativity; perseverance,feature,Entrepreneurship Development need and characteristics Need And Characteristics need for entrepreneurship; characteristics; initiative; confidence; creativity; perseverance,syllabus_taxonomy_fallback
Unit XII,Entrepreneurship Development,competencies and values,Competencies And Values,,,entrepreneurial competencies; values; motivation; achievement; problem solving,definition,Entrepreneurship Development competencies and values Competencies And Values entrepreneurial competencies; values; motivation; achievement; problem solving,syllabus_taxonomy_fallback
Unit XII,Entrepreneurship Development,process,Process,,,sensing opportunity; environment scanning; feasibility study; business plan; enterprise launch; growth,process,Entrepreneurship Development process Process sensing opportunity; environment scanning; feasibility study; business plan; enterprise launch; growth,syllabus_taxonomy_fallback
Unit XII,Entrepreneurship Development,entrepreneurship in India,Entrepreneurship In India,,,startup; msme; self employment; economic development,definition,Entrepreneurship Development entrepreneurship in India Entrepreneurship In India startup; msme; self employment; economic development,syllabus_taxonomy_fallback
