chapter,subtopic,question_pattern,question_count
Principles of Management,techniques of scientific management,statement true/false,3
Nature and Significance of Management,functions of management,feature-identification,3
Principles of Management,Fayol principles,definition-based,3
Planning,importance,feature-identification,3
Principles of Management,Taylor scientific management,match-the-following,3
Consumer Protection,legal redressal,chronology/process order,3
Principles of Management,nature of principles,statement true/false,3
Directing,communication,statement true/false,3
Principles of Management,nature of principles,feature-identification,3
Principles of Management,Taylor scientific management,definition-based,3
Planning,limitations,statement true/false,3
Planning,meaning and features,statement true/false,3
Organising,formal and informal organisation,principle-identification,3
Planning,types of plans,chronology/process order,3
Entrepreneurship Development,need and characteristics,example-to-concept,3
Organising,importance,match-the-following,3
Directing,motivation,match-the-following,3
Directing,motivation,feature-identification,3
Business Finance,investment decision,chronology/process order,3
Marketing,pricing,feature-identification,3
Business Finance,working capital,chronology/process order,3
Marketing,marketing meaning,statement true/false,3
Consumer Protection,consumer responsibilities,definition-based,3
Organising,delegation,principle-identification,3
Organising,delegation,match-the-following,3
Marketing,channels of distribution,chronology/process order,3
Controlling,relationship with planning,feature-identification,2
Controlling,control process,example-to-concept,2
Staffing,meaning and importance,match-the-following,2
Planning,types of plans,feature-identification,2
Staffing,Compensation and Benefits,definition-based,2
Staffing,recruitment,match-the-following,2
Business Environment,dimensions,case-study diagnosis,2
Staffing,recruitment,statement true/false,2
Consumer Protection,legal redressal,match-the-following,2
Directing,leadership,feature-identification,2
Business Environment,meaning and features,match-the-following,2
Principles of Management,Taylor scientific management,feature-identification,2
Entrepreneurship Development,concept and functions,statement true/false,2
Directing,supervision,match-the-following,2
Directing,communication,example-to-concept,2
Directing,communication,case-study diagnosis,2
Organising,decentralisation,match-the-following,2
Marketing,marketing management philosophies,example-to-concept,2
Marketing,marketing management philosophies,statement true/false,2
Organising,meaning and process,statement true/false,2
Business Finance,fixed capital,statement true/false,2
Organising,organisation structure,match-the-following,2
Nature and Significance of Management,meaning and objectives,statement true/false,2
Marketing,marketing management philosophies,chronology/process order,2
Planning,planning process,statement true/false,2
Planning,limitations,feature-identification,2
Directing,motivation,statement true/false,2
Directing,communication,principle-identification,2
Directing,supervision,definition-based,2
Business Finance,working capital,case-study diagnosis,2
Business Finance,financial planning,match-the-following,2
Business Finance,working capital,feature-identification,2
Marketing,marketing meaning,match-the-following,2
Marketing,marketing meaning,feature-identification,2
Consumer Protection,NGOs and relief,case-study diagnosis,2
Business Finance,investment decision,match-the-following,2
Nature and Significance of Management,levels of management,feature-identification,2
Nature and Significance of Management,levels of management,case-study diagnosis,2
Nature and Significance of Management,importance of management,statement true/false,2
Marketing,promotion,chronology/process order,2
Staffing,staffing process,feature-identification,2
Marketing,marketing mix,case-study diagnosis,2
Nature and Significance of Management,features of management,case-study diagnosis,2
Nature and Significance of Management,features of a profession,feature-identification,2
Principles of Management,techniques of scientific management,feature-identification,2
Business Finance,dividend decision,chronology/process order,2
Business Finance,financial management,case-study diagnosis,2
Business Environment,importance of environment,statement true/false,2
Business Environment,liberalisation privatisation globalisation,definition-based,1
Business Environment,liberalisation privatisation globalisation,match-the-following,1
Business Environment,liberalisation privatisation globalisation,statement true/false,1
Business Finance,dividend decision,statement true/false,1
Business Finance,current assets,definition-based,1
Business Finance,Project Appraisal,definition-based,1
Business Finance,Owners' Funds,definition-based,1
Business Finance,Financing Decision,definition-based,1
Business Finance,Cost Classification,definition-based,1
Business Finance,Capital Structure,definition-based,1
Business Finance,financial management,match-the-following,1
Consumer Protection,consumer responsibilities,statement true/false,1
Staffing,training and development,feature-identification,1
Staffing,staffing process,statement true/false,1
Marketing,marketing mix,chronology/process order,1
Consumer Protection,consumer responsibilities,case-study diagnosis,1
Nature and Significance of Management,dimensions of management,definition-based,1
Nature and Significance of Management,decentralization,definition-based,1
Nature and Significance of Management,coordination,feature-identification,1
Nature and Significance of Management,coordination,case-study diagnosis,1
Nature and Significance of Management,Organizational Structure and Communication Networks,definition-based,1
Nature and Scope of Business,Profession,feature-identification,1
Marketing Management,Brand Management,definition-based,1
Marketing,promotion,case-study diagnosis,1
Marketing,product classification,match-the-following,1
Nature and Significance of Management,meaning and objectives,case-study diagnosis,1
Nature and Significance of Management,levels of management,principle-identification,1
Nature and Significance of Management,importance of management,feature-identification,1
Marketing,product classification,definition-based,1
Marketing,product,chronology/process order,1
Marketing,product,case-study diagnosis,1
Marketing,pricing,chronology/process order,1
Marketing,marketing vs selling,definition-based,1
Marketing,marketing vs selling,chronology/process order,1
Marketing,marketing mix,principle-identification,1
Nature and Significance of Management,functions of management,example-to-concept,1
Nature and Significance of Management,features of management as an art,feature-identification,1
Nature and Significance of Management,features of management,match-the-following,1
Business Finance,financing decision,chronology/process order,1
Business Finance,financial statements and ratios,definition-based,1
Business Finance,financial ratios,match-the-following,1
Business Finance,financial planning,concept-to-example,1
Business Finance,financial planning,chronology/process order,1
Marketing,Promotion Mix,definition-based,1
Marketing,Pricing,chronology/process order,1
Marketing,Classification of products,match-the-following,1
Marketing,Classification of Products,match-the-following,1
Functions of Management,Staffing,definition-based,1
Consumer Protection,consumer products,definition-based,1
Consumer Protection,NGOs and relief,statement true/false,1
Business Finance,working capital,statement true/false,1
Business Finance,working capital,principle-identification,1
Nature and Significance of Management,meaning and objectives,match-the-following,1
Nature and Significance of Management,meaning and objectives,example-to-concept,1
Nature and Significance of Management,meaning and objectives,chronology/process order,1
Organising,divisional structure,statement true/false,1
Organising,decentralisation,statement true/false,1
Organising,decentralisation,principle-identification,1
Organising,decentralisation,feature-identification,1
Organising,decentralisation,example-to-concept,1
Organising,decentralisation,case-study diagnosis,1
Entrepreneurship Development,need and characteristics,concept-to-example,1
Entrepreneurship Development,need and characteristics,case-study diagnosis,1
Marketing,marketing management philosophies,feature-identification,1
Marketing,marketing management philosophies,case-study diagnosis,1
Marketing,competition and response strategies,statement true/false,1
Marketing,channels of distribution,feature-identification,1
Marketing,channels of distribution,definition-based,1
Marketing,channels of distribution,case-study diagnosis,1
Nature and Significance of Management,types of business tests,match-the-following,1
Nature and Significance of Management,social objective,case-study diagnosis,1
Business Finance,fixed capital,match-the-following,1
Planning,Budgeting,feature-identification,1
Physical Distribution,Functions of Physical Distribution,definition-based,1
Organising,organisation structure,feature-identification,1
Organising,organisation structure,example-to-concept,1
Organising,organisation structure,chronology/process order,1
Organising,organisation structure,case-study diagnosis,1
Organising,meaning and process,match-the-following,1
Organising,importance,statement true/false,1
Directing,principles of directing,feature-identification,1
Financial Markets,Trading and Settlement Procedures,chronology/process order,1
Financial Markets,Capital and Financial Markets,definition-based,1
Financial Management,Profitability Ratios,definition-based,1
Financial Management,Leverage Ratios,definition-based,1
Financial Management,Current Assets,definition-based,1
Entrepreneurship Development,process,statement true/false,1
Entrepreneurship Development,process,concept-to-example,1
Entrepreneurship Development,process,case-study diagnosis,1
Entrepreneurship Development,need and characteristics,statement true/false,1
Entrepreneurship Development,need and characteristics,match-the-following,1
Organising,formal and informal organisation,statement true/false,1
Organising,formal and informal organisation,match-the-following,1
Planning,types of plans,case-study diagnosis,1
Planning,planning process,match-the-following,1
Planning,planning process,feature-identification,1
Planning,meaning and features,feature-identification,1
Entrepreneurship Development,functions of an entrepreneur,feature-identification,1
Entrepreneurship Development,entrepreneurship in India,feature-identification,1
Entrepreneurship Development,competencies and values,statement true/false,1
Entrepreneurship Development,competencies and values,match-the-following,1
Entrepreneurship Development,competencies and values,case-study diagnosis,1
Entrepreneurship,Motivation for Entrepreneurship,definition-based,1
Entrepreneurship,Entrepreneurial Competencies,statement true/false,1
Directing,supervision,feature-identification,1
Planning,importance,match-the-following,1
Planning,importance,case-study diagnosis,1
Principles of Management,environmental scanning techniques,definition-based,1
Principles of Management,Techniques of Scientific Management,definition-based,1
Principles of Management,Taylor scientific management,case-study diagnosis,1
Principles of Management,Principle of Authority and Responsibility,statement true/false,1
Controlling,control process,concept-to-example,1
Consumer Protection,legal redressal,case-study diagnosis,1
Directing,meaning and importance,principle-identification,1
Directing,meaning and importance,match-the-following,1
Directing,leadership,principle-identification,1
Directing,leadership,match-the-following,1
Directing,leadership,case-study diagnosis,1
Principles of Management,techniques of scientific management,chronology/process order,1
Directing,Maslow hierarchy,statement true/false,1
Controlling,objectives of standardisation,feature-identification,1
Controlling,meaning and importance,statement true/false,1
Controlling,control process,statement true/false,1
Primary Market,Floatation Methods,definition-based,1
Staffing,recruitment,case-study diagnosis,1
Staffing,meaning and importance,principle-identification,1
Staffing,meaning and importance,feature-identification,1
Staffing,meaning and importance,chronology/process order,1
Staffing,employee retention,definition-based,1
Production and Operations Management,Economies of Scale,case-study diagnosis,1
Staffing,staffing process,case-study diagnosis,1
Business Environment,importance of environment,case-study diagnosis,1
Staffing,selection,example-to-concept,1
Business Environment,dimensions,principle-identification,1
Business Environment,Consumer Protection and Legal Aspects,definition-based,1
