canonical_question_id,chapter,subtopic,question_pattern,micro_concept,difficulty_estimate,final_confidence
cq_000069_3845802497,Organising,organisation structure,definition-based,structure,easy,0.99
cq_000070_7fa58d4b80,Organising,delegation,statement true/false,delegation,hard,0.56
cq_000071_46af12988d,Staffing,recruitment,definition-based,recruitment,easy,0.99
cq_000072_c240cae0dc,Business Environment,dimensions,feature-identification,environment,easy,0.99
cq_000073_f8f7359dba,Organising,formal and informal organisation,feature-identification,formal/informal organisation,easy,0.92
cq_000074_86e5e0917a,Nature and Significance of Management,meaning and objectives,chronology/process order,types of plans,easy,0.79
cq_000075_281f59cd99,Staffing,training and development,definition-based,training,easy,0.99
cq_000076_beb806befb,Consumer Protection,NGOs and relief,statement true/false,consumer,medium,0.99
cq_000077_bb46d33d3a,Principles of Management,nature of principles,feature-identification,entrepreneur characteristics,easy,0.55
cq_000078_aa87461207,Business Environment,dimensions,definition-based,environment,easy,0.86
cq_000079_c8570caeb1,Nature and Significance of Management,features of management,feature-identification,management,easy,0.59
cq_000080_eac8477a60,Business Finance,financial planning,case-study diagnosis,financial risk,medium,0.82
cq_000081_288560882f,Nature and Significance of Management,coordination,statement true/false,management,easy,0.63
cq_000082_1284f5918d,Staffing,recruitment,feature-identification,recruitment,easy,0.92
cq_000083_0fbbc0edd1,Planning,planning process,statement true/false,financial risk,medium,0.68
cq_000084_3ac15497c2,Organising,organisation structure,definition-based,structure,easy,0.99
cq_000085_a416c3fee3,Marketing,product,match-the-following,product mix,medium,0.99
cq_000086_e5aa261c64,Principles of Management,Taylor scientific management,principle-identification,types of plans,easy,0.99
cq_000087_b33981fefc,Principles of Management,Fayol principles,match-the-following,unity of command,medium,0.99
cq_000088_20a0bb08bd,Principles of Management,techniques of scientific management,feature-identification,scientific management,easy,0.84
cq_000089_90592b8695,Business Environment,dimensions,definition-based,dimension,easy,0.99
cq_000090_70eae176c2,Business Environment,dimensions,example-to-concept,environment,easy,0.99
cq_000091_df73ccf1b2,Business Environment,dimensions,example-to-concept,financial risk,easy,0.99
cq_000092_3d6ba8423b,Business Environment,meaning and features,definition-based,environment,easy,0.96
cq_000093_eb44c7ed61,Planning,planning process,chronology/process order,types of plans,easy,0.99
cq_000094_d98d7b9654,Staffing,selection,chronology/process order,selection,easy,0.99
cq_000095_10017bffdf,Staffing,training and development,definition-based,training,easy,0.99
cq_000096_f735f19c82,Staffing,staffing process,match-the-following,recruitment,medium,0.61
cq_000097_0cc37af34f,Directing,meaning and importance,definition-based,leadership style,easy,0.99
cq_000098_2fc8f9ef78,Directing,Maslow hierarchy,chronology/process order,maslow hierarchy,easy,0.99
cq_000099_e940a91aff,Directing,meaning and importance,definition-based,leadership style,easy,0.99
cq_000100_24e41575ac,Controlling,control process,feature-identification,discipline,medium,0.74
cq_000101_e2de6250b4,Controlling,control process,chronology/process order,controlling,easy,0.92
cq_000102_135f9a40bc,Controlling,control process,example-to-concept,types of plans,easy,0.87
cq_000103_baa48c8ab2,Business Finance,financial management,statement true/false,price mix,easy,0.43
cq_000104_731a81087f,Consumer Protection,legal redressal,chronology/process order,consumer redressal,medium,0.99
cq_000105_37600d23c6,Consumer Protection,importance,definition-based,delegation,easy,0.99
cq_000106_c8aa9a55fe,Consumer Protection,consumer rights,definition-based,consumer rights,easy,0.99
cq_000107_3517122839,Primary Market,Floatation Methods,definition-based,types of plans,easy,0.35
cq_000108_a6f3bb1dc3,Organising,delegation,match-the-following,delegation,medium,0.96
cq_000109_861980b916,Organising,meaning and process,chronology/process order,division of work,easy,0.99
cq_000110_092070c4ce,Organising,formal and informal organisation,feature-identification,types of plans,easy,0.79
cq_000111_c2dbf0b1e8,Organising,formal and informal organisation,principle-identification,formal/informal organisation,easy,0.92
cq_000112_6c884cc403,Financial Markets,Trading and Settlement Procedures,chronology/process order,types of plans,easy,0.36
cq_000113_1b5770a955,Financial Markets,Capital and Financial Markets,definition-based,market,easy,0.36
cq_000114_fbd8287fe1,Entrepreneurship Development,need and characteristics,definition-based,entrepreneur characteristics,easy,0.43
cq_000115_0b2f85efcc,Nature and Significance of Management,functions of management,definition-based,functions,easy,0.82
cq_000116_07add2fa96,Business Finance,financial management,definition-based,types of plans,easy,0.54
cq_000117_7a1df0ee5f,Business Finance,financial planning,definition-based,types of plans,easy,0.92
cq_000118_925cc1cae8,Business Finance,Financing Decision,definition-based,financial risk,easy,0.35
cq_000119_8a5a1f7776,Nature and Significance of Management,coordination,principle-identification,financial risk,easy,0.92
cq_000120_f2e1533107,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.61
cq_000121_9b9dfb5d4b,Nature and Significance of Management,features of management,statement true/false,management,easy,0.99
cq_000122_06efb8404f,Marketing,marketing management philosophies,definition-based,marketing,easy,0.63
cq_000123_d6e3449bdf,Staffing,selection,match-the-following,selection,medium,0.66
cq_000124_8b5b60d073,Organising,organisation structure,definition-based,division of work,easy,0.87
cq_000125_62765cabc5,Marketing,marketing mix,case-study diagnosis,marketing mix,medium,0.63
cq_000126_20dc23194d,Marketing,marketing mix,statement true/false,price mix,medium,0.99
cq_000127_08cbb3935b,Marketing,marketing mix,statement true/false,price mix,medium,0.99
cq_000128_d56861cafd,Marketing,marketing mix,statement true/false,price mix,medium,0.99
cq_000129_b7229b2774,Marketing,promotion,statement true/false,promotion mix,medium,0.79
cq_000130_1f3b78fe71,Nature and Significance of Management,functions of management,case-study diagnosis,management,medium,0.99
cq_000131_6ce6562360,Planning,importance,statement true/false,goals,easy,0.99
cq_000132_4828d86656,Planning,importance,statement true/false,managerial,easy,0.99
cq_000133_f3d3fd5292,Planning,importance,statement true/false,types of plans,easy,0.99
cq_000134_007f79e827,Planning,importance,statement true/false,reduces,easy,0.99
cq_000135_97ce943ede,Directing,supervision,feature-identification,types of plans,hard,0.35
cq_000136_6de45bad78,Directing,communication,definition-based,communication barriers,easy,0.99
cq_000137_b3e528ba4e,Nature and Significance of Management,features of management,statement true/false,management,medium,0.83
cq_000138_7686fd6152,Directing,meaning and importance,definition-based,directing,easy,0.99
cq_000139_6ac1f16aad,Organising,meaning and process,chronology/process order,organising,easy,0.90
cq_000140_c7778196ba,Entrepreneurship Development,concept and functions,definition-based,entrepreneurship,easy,0.54
cq_000141_db98eb7a5e,Nature and Significance of Management,functions of management,definition-based,types of plans,easy,0.57
cq_000142_2ddd2c8e59,Nature and Significance of Management,functions of management,definition-based,management,easy,0.98
cq_000143_db2f6063b1,Marketing,product,definition-based,product,easy,0.99
cq_000144_d4153814d3,Nature and Significance of Management,features of a profession,feature-identification,features,easy,0.35
cq_000145_7b67b63e91,Staffing,staffing process,feature-identification,delegation,easy,0.99
cq_000146_cf9ed63eb8,Directing,supervision,match-the-following,leadership style,medium,0.68
cq_000147_0379c01715,Organising,decentralisation,definition-based,centralisation/decentralisation,easy,0.85
cq_000148_d734ccf2d8,Controlling,relationship with planning,definition-based,controlling,easy,0.80
cq_000149_7eecf60620,Directing,leadership,feature-identification,leadership style,easy,0.48
cq_000150_69452b4d2a,Directing,motivation,chronology/process order,motivation,easy,0.61
cq_000151_5be58a43ad,Consumer Protection,importance,definition-based,delegation,easy,0.99
cq_000152_f4369a70de,Business Environment,dimensions,definition-based,environment,easy,0.90
cq_000153_7e6c05d6ec,Nature and Significance of Management,importance of management,definition-based,management,easy,0.51
cq_000154_b9838ce30f,Consumer Protection,importance,definition-based,consumer redressal,easy,0.76
cq_000155_e745af6253,Controlling,meaning and importance,definition-based,entrepreneur characteristics,easy,0.94
cq_000156_3df6785270,Business Environment,dimensions,match-the-following,financial risk,medium,0.99
cq_000157_a661734d4b,Planning,types of plans,definition-based,types of plans,easy,0.97
cq_000158_08a8fefa4b,Controlling,control process,chronology/process order,controlling,easy,0.86
cq_000159_f53690c3f9,Planning,planning process,chronology/process order,types of plans,easy,0.89
cq_000160_e371519197,Principles of Management,Fayol principles,match-the-following,equity,medium,0.99
cq_000161_05031e2848,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.99
cq_000162_afeb7739f4,Business Environment,dimensions,principle-identification,types of plans,easy,0.77
cq_000163_fc8c0e8b07,Staffing,Compensation and Benefits,definition-based,compensation,easy,0.33
cq_000164_bce212b09b,Organising,importance,match-the-following,entrepreneur characteristics,medium,0.99
cq_000165_d836648251,Nature and Significance of Management,features of management,feature-identification,management,easy,0.99
cq_000166_3ed42bb8a6,Nature and Significance of Management,functions of management,definition-based,management,easy,0.92
cq_000167_61db4b16ef,Controlling,relationship with planning,definition-based,controlling,easy,0.71
cq_000168_b511f3692a,Business Finance,working capital,principle-identification,types of plans,easy,0.48
cq_000169_160b6a9beb,Nature and Significance of Management,functions of management,chronology/process order,types of plans,easy,0.98
cq_000170_e6c64ebcdf,Directing,motivation,definition-based,motivation,easy,0.74
cq_000171_4b28970530,Planning,types of plans,match-the-following,types of plans,medium,0.99
cq_000172_63920a7e82,Business Environment,meaning and features,definition-based,environment,easy,0.74
cq_000173_1db2cae0e8,Organising,delegation,definition-based,delegation,easy,0.66
cq_000174_ee90103ac2,Staffing,recruitment,definition-based,recruitment,easy,0.99
cq_000175_02de3c3bac,Staffing,staffing process,chronology/process order,staffing,easy,0.81
cq_000176_4370faed0b,Staffing,training and development,case-study diagnosis,training,medium,0.99
cq_000177_239d6bd10d,Marketing,marketing mix,feature-identification,marketing mix,easy,0.99
cq_000178_5c6a828e5a,Marketing,marketing mix,definition-based,marketing mix,easy,0.99
cq_000179_9f0ca97c39,Marketing,product,definition-based,product mix,easy,0.99
cq_000180_fd5da6d3b2,Marketing,product,definition-based,product mix,easy,0.65
cq_000181_48b5d0f9fc,Marketing Management,Brand Management,definition-based,product mix,easy,0.32
cq_000182_884c882770,Business Finance,financial management,definition-based,types of plans,easy,0.92
cq_000183_c4240ea4d9,Business Finance,financial planning,definition-based,financial,easy,0.99
cq_000184_1962781c06,Business Finance,working capital,definition-based,working capital,easy,0.99
cq_000185_9774bd4ccc,Business Finance,financial management,definition-based,financial,easy,0.99
cq_000186_ec42951cbc,Business Finance,working capital,definition-based,types of plans,easy,0.55
cq_000187_81d4086286,Business Finance,financing decision,definition-based,financial risk,easy,0.64
cq_000188_0e66f51d3c,Directing,communication,definition-based,directing,easy,0.46
cq_000189_f58843a75d,Marketing,promotion,match-the-following,promotion mix,medium,0.99
cq_000190_2ecf70f6b6,Marketing,marketing meaning,statement true/false,marketing,easy,0.80
cq_000191_532a632fab,Marketing,product,definition-based,product mix,easy,0.99
cq_000192_602f2c879d,Principles of Management,Fayol principles,principle-identification,unity of command,easy,0.99
cq_000193_df106cf5ef,Nature and Significance of Management,importance of management,definition-based,management,easy,0.99
cq_000194_f9cdbf97f5,Marketing,marketing management philosophies,definition-based,marketing,easy,0.35
cq_000195_2705edd42a,Nature and Significance of Management,levels of management,definition-based,level,easy,0.99
cq_000196_907d98f311,Planning,planning process,chronology/process order,types of plans,easy,0.93
cq_000197_069ee8f5fa,Consumer Protection,legal redressal,chronology/process order,consumer redressal,easy,0.99
cq_000198_76ef980c07,Business Finance,investment decision,match-the-following,types of plans,medium,0.99
cq_000199_6a34dde4eb,Nature and Significance of Management,functions of management,definition-based,management,easy,0.52
cq_000200_f01bcee06b,Organising,meaning and process,chronology/process order,division of work,easy,0.99
cq_000201_b18fe57146,Principles of Management,techniques of scientific management,chronology/process order,scientific management,easy,0.99
cq_000202_2fa6ba5124,Nature and Significance of Management,functions of management,definition-based,management,easy,0.99
cq_000203_3fb285297e,Organising,delegation,statement true/false,centralisation/decentralisation,easy,0.92
cq_000204_1a87c7191e,Planning,types of plans,statement true/false,types of plans,easy,0.85
cq_000205_14ffe043af,Business Environment,importance of environment,statement true/false,types of plans,medium,0.96
cq_000206_c92585d6c0,Principles of Management,environmental scanning techniques,definition-based,types of plans,easy,0.35
cq_000207_d329e1f510,Nature and Significance of Management,functions of management,definition-based,management,easy,0.92
cq_000208_5eb816c0e4,Principles of Management,Fayol principles,principle-identification,scalar chain,easy,0.99
cq_000209_70ce45fa9a,Entrepreneurship Development,concept and functions,feature-identification,entrepreneurship,easy,0.99
cq_000210_1790d7d51a,Nature and Significance of Management,coordination,definition-based,delegation,easy,0.97
cq_000211_1e8a4fe8ec,Financial Management,Profitability Ratios,definition-based,financial risk,easy,0.35
cq_000212_a0c4e5df8a,Business Finance,Owners' Funds,definition-based,equity,easy,0.35
cq_000213_453e668db5,Consumer Protection,consumer products,definition-based,purchased,easy,0.35
cq_000214_fe69025b67,Staffing,selection,chronology/process order,selection,easy,0.99
cq_000215_e8ec5108b0,Organising,importance,match-the-following,division of work,medium,0.99
cq_000216_02d3f02b54,Consumer Protection,consumer rights,match-the-following,consumer rights,medium,0.99
cq_000217_7fd87c158c,Planning,Budgeting,feature-identification,types of plans,easy,0.35
cq_000218_53f797a894,Nature and Significance of Management,meaning and objectives,principle-identification,types of plans,easy,0.99
cq_000219_70ad9d7efc,Principles of Management,Taylor scientific management,principle-identification,scientific management,easy,0.99
cq_000220_9d0f790240,Business Environment,dimensions,match-the-following,types of plans,medium,0.99
cq_000221_c89a4e73bc,Staffing,training and development,definition-based,recruitment,easy,0.69
cq_000222_532577cb95,Business Environment,meaning and features,statement true/false,environment,easy,0.99
cq_000223_2ea6a5fab6,Staffing,staffing process,chronology/process order,recruitment,easy,0.99
cq_000224_de05ae82a5,Principles of Management,Fayol principles,principle-identification,maslow hierarchy,easy,0.51
cq_000225_850d0c5fb9,Controlling,relationship with planning,feature-identification,types of plans,easy,0.80
cq_000226_ad385d81ea,Organising,organisation structure,definition-based,delegation,easy,0.99
cq_000227_6b9bff692b,Directing,meaning and importance,definition-based,directing,easy,0.51
cq_000228_cb6d4b8f10,Planning,meaning and features,definition-based,planning,easy,0.60
cq_000229_aae126a413,Directing,communication,definition-based,communication,easy,0.99
cq_000230_d5109677bf,Directing,motivation,definition-based,motivation,easy,0.99
cq_000231_28c4ab2755,Directing,leadership,definition-based,leadership style,easy,0.99
cq_000232_f41ccf62f0,Controlling,control process,definition-based,control,easy,0.92
cq_000233_6afd766b56,Controlling,meaning and importance,definition-based,training,easy,0.51
cq_000234_3189feb97b,Controlling,control process,definition-based,controlling,easy,0.92
cq_000235_825556e424,Marketing,marketing meaning,definition-based,marketing,easy,0.68
cq_000236_3bc7bab70b,Controlling,meaning and importance,definition-based,factors,easy,0.77
cq_000237_b458c47a82,Business Environment,importance of environment,definition-based,environment,easy,0.47
cq_000238_284099958c,Consumer Protection,legal redressal,definition-based,consumer redressal,easy,0.99
cq_000239_bd39c022b6,Nature and Significance of Management,coordination,definition-based,leadership style,easy,0.99
cq_000240_55d791ded8,Organising,importance,definition-based,division of work,easy,0.67
cq_000241_b97890179b,Staffing,selection,chronology/process order,selection,easy,0.99
cq_000242_e8f6cb2024,Entrepreneurship Development,process,chronology/process order,development,easy,0.95
cq_000243_157dccd9eb,Principles of Management,Taylor scientific management,principle-identification,scientific management,easy,0.63
cq_000244_cd1ca19e27,Marketing,marketing meaning,feature-identification,price mix,easy,0.61
cq_000245_a1345ef310,Organising,organisation structure,chronology/process order,entrepreneur characteristics,easy,0.67
cq_000246_fdfe5b37f9,Marketing,product,definition-based,product mix,easy,0.81
cq_000247_dc181706b6,Business Finance,working capital,definition-based,working capital,easy,0.61
cq_000248_b80b0d1fe4,Principles of Management,Techniques of Scientific Management,definition-based,scientific management,easy,0.36
cq_000249_9d7d075063,Business Finance,financial planning,definition-based,planning,easy,0.85
cq_000250_ac326e32ee,Planning,types of plans,match-the-following,types of plans,medium,0.95
cq_000251_7adf1c6788,Nature and Significance of Management,functions of management,definition-based,communication barriers,easy,0.57
cq_000252_2a988a6445,Marketing,product,feature-identification,price mix,easy,0.81
cq_000253_aa43d9dc45,Business Finance,financing decision,definition-based,financial risk,easy,0.61
cq_000254_d322f70b7d,Nature and Significance of Management,functions of management,statement true/false,entrepreneur characteristics,medium,0.92
cq_000255_41cec094d3,Marketing,competition and response strategies,statement true/false,promotion mix,easy,0.35
cq_000256_90e773f025,Marketing,promotion,match-the-following,promotion mix,medium,0.99
cq_000257_bd6a83cb99,Directing,meaning and importance,feature-identification,leadership style,easy,0.99
cq_000258_04455e1815,Principles of Management,Fayol principles,match-the-following,unity of command,medium,0.75
cq_000259_549fb7d05b,Controlling,control process,definition-based,control,easy,0.99
cq_000260_ba68c467f5,Marketing,pricing,definition-based,price mix,easy,0.79
cq_000261_3128ad8022,Marketing,product,definition-based,product mix,easy,0.83
cq_000262_4fb8510fe8,Organising,organisation structure,definition-based,division of work,easy,0.99
cq_000263_3ef915808e,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.76
cq_000264_1c28880024,Nature and Significance of Management,functions of management,definition-based,management,easy,0.97
cq_000265_65a452551e,Business Finance,working capital,chronology/process order,working capital,easy,0.49
cq_000266_9c7c565890,Marketing,promotion,definition-based,promotion mix,easy,0.99
cq_000267_f002658f4d,Consumer Protection,importance,feature-identification,delegation,easy,0.99
cq_000268_4e2d1995d9,Staffing,staffing process,definition-based,recruitment,easy,0.99
cq_000269_3c6434f4ee,Nature and Significance of Management,levels of management,definition-based,management,easy,0.72
cq_000270_2eda78d315,Nature and Significance of Management,functions of management,definition-based,types of plans,easy,0.57
cq_000271_42316304d2,Business Environment,dimensions,definition-based,equity,easy,0.99
cq_000272_e65a23f90e,Nature and Significance of Management,functions of management,match-the-following,management,medium,0.59
cq_000273_c89a66de45,Controlling,control process,chronology/process order,performance,easy,0.92
cq_000274_29f3fed428,Entrepreneurship Development,process,definition-based,entrepreneurship,easy,0.75
cq_000275_b9bf42a2b2,Controlling,control process,definition-based,communication barriers,easy,0.66
cq_000276_e15beead8f,Staffing,selection,match-the-following,selection,medium,0.77
cq_000277_fd1e8ca017,Business Finance,working capital,definition-based,financial risk,easy,0.72
cq_000278_2661ebe0ac,Business Finance,financing decision,chronology/process order,financial risk,easy,0.81
cq_000279_02c1d0ebcb,Business Finance,financing decision,definition-based,financial risk,easy,0.82
cq_000280_6bb45fe068,Business Finance,investment decision,definition-based,types of plans,easy,0.99
cq_000281_ddfecf59d9,Business Finance,financing decision,definition-based,financial risk,easy,0.67
cq_000282_0d043cb62e,Business Environment,dimensions,definition-based,environment,easy,0.62
cq_000283_40569dd2fb,Staffing,training and development,definition-based,training,easy,0.92
cq_000284_b1840f86ab,Staffing,recruitment,definition-based,recruitment,easy,0.75
cq_000285_b949242d1a,Staffing,recruitment,feature-identification,recruitment,easy,0.85
cq_000286_1e76b733b8,Staffing,staffing process,definition-based,recruitment,easy,0.73
cq_000287_952e73737b,Planning,types of plans,match-the-following,types of plans,medium,0.60
cq_000288_aa8be6ac8d,Staffing,training and development,feature-identification,training,easy,0.99
cq_000289_5d2ef5cc23,Controlling,objectives of standardisation,feature-identification,types of plans,easy,0.35
cq_000290_63a3b469fa,Consumer Protection,importance,feature-identification,delegation,easy,0.92
cq_000291_4a58d452cf,Marketing,pricing,definition-based,price mix,easy,0.99
cq_000292_8e0272d871,Planning,types of plans,chronology/process order,types of plans,medium,0.88
cq_000293_4dc70f9245,Principles of Management,Fayol principles,match-the-following,unity of command,medium,0.99
cq_000294_e2e329f26c,Entrepreneurship,Motivation for Entrepreneurship,definition-based,entrepreneurship,easy,0.35
cq_000295_28e2e290f0,Business Finance,financing decision,definition-based,equity,easy,0.66
cq_000296_ee25dfd725,Business Environment,importance of environment,definition-based,types of plans,easy,0.80
cq_000297_89e045b90c,Entrepreneurship Development,process,chronology/process order,development,easy,0.74
cq_000298_1947cc617d,Business Finance,financing decision,definition-based,financial risk,easy,0.63
cq_000299_9fe4e9c0cb,Controlling,control process,definition-based,types of plans,easy,0.84
cq_000300_88512914ea,Directing,communication,definition-based,communication barriers,easy,0.99
cq_000301_735d4e5c1c,Consumer Protection,consumer rights,match-the-following,consumer rights,medium,0.99
cq_000302_950ed29551,Organising,organisation structure,definition-based,structure,easy,0.99
cq_000303_1b6df5faaa,Nature and Significance of Management,levels of management,definition-based,management,easy,0.99
cq_000304_b6333327db,Business Finance,financing decision,definition-based,financial risk,easy,0.77
cq_000305_06bd404a06,Organising,meaning and process,chronology/process order,activities,easy,0.80
cq_000306_ec91efab4f,Planning,meaning and features,statement true/false,planning,easy,0.57
cq_000307_4df9078957,Controlling,control process,chronology/process order,training,medium,0.99
cq_000308_be02500d3d,Staffing,selection,chronology/process order,selection,easy,0.99
cq_000309_e1fa1de291,Principles of Management,Fayol principles,feature-identification,unity of command,easy,0.91
cq_000310_2edfe80990,Directing,meaning and importance,feature-identification,leadership style,easy,0.99
cq_000311_0e286d074e,Consumer Protection,consumer rights,feature-identification,consumer rights,easy,0.99
cq_000312_ea9af4cee2,Nature and Significance of Management,coordination,feature-identification,coordination,easy,0.99
cq_000313_c8834d1154,Organising,delegation,definition-based,delegation,easy,0.99
cq_000314_a6ec8183e6,Business Finance,investment decision,match-the-following,types of plans,medium,0.99
cq_000315_50f569e27f,Consumer Protection,NGOs and relief,case-study diagnosis,entrepreneur characteristics,medium,0.58
cq_000316_7a9182f2e0,Directing,communication,chronology/process order,communication,easy,0.99
cq_000317_c8ac4a852c,Nature and Significance of Management,functions of management,match-the-following,management,medium,0.94
cq_000318_8e09a9499e,Staffing,recruitment,feature-identification,recruitment,easy,0.99
cq_000319_388eab70be,Directing,meaning and importance,definition-based,leadership style,easy,0.99
cq_000320_8a2d5b4fb2,Organising,delegation,definition-based,delegation,easy,0.80
cq_000321_6f3a3414a7,Business Finance,investment decision,definition-based,investment,easy,0.72
cq_000322_f471ef22e4,Business Finance,working capital,feature-identification,working capital,easy,0.99
cq_000323_4852992e08,Business Finance,financial planning,definition-based,money,easy,0.74
cq_000324_b360f0c73a,Nature and Significance of Management,functions of management,definition-based,management,easy,0.99
cq_000325_09fbdac267,Organising,decentralisation,definition-based,centralisation/decentralisation,easy,0.99
cq_000326_414bc24093,Business Environment,dimensions,definition-based,types of plans,easy,0.91
